product_id,product_name,price,category
1,Very Software,864.55,Marketing
2,Look Software,4452.58,Marketing
3,Happy Software,828.46,Analytics
4,Do Software,2315.0,Marketing
5,Hospital Software,3680.0,Security
6,View Software,4901.03,Marketing
7,Have Software,178.94,CRM
8,Example Software,1850.05,Marketing
9,Discuss Software,4907.72,CRM
10,Reduce Software,1361.44,Marketing
11,Election Software,2729.37,Finance
12,Pm Software,1731.54,Finance
13,Usually Software,2561.44,CRM
14,Hold Software,4560.13,Analytics
15,Participant Software,4481.8,Marketing
16,Own Software,3482.27,CRM
17,Better Software,1764.61,Finance
18,Meet Software,2852.9,CRM
19,Consumer Software,1355.7,Marketing
20,Inside Software,4800.67,Marketing
